Media Time (seconds),Arousal (%)
10.963073,38.5
10.992189,38.0
11.022756,38.5
11.054,38.0
11.083171,38.0
11.111404,38.0
11.140245,38.0
11.17045,38.0
11.199587,38.0
11.228574,38.5
11.259937,38.5
11.29022,39.0
11.319925,39.0
11.349135,39.0
11.377277,39.0
11.405757,39.0
11.434953,39.0
11.46316,38.5
11.493455,38.5
11.52277,38.5
11.552615,38.5
11.580464,38.5
11.606229,38.0
11.636629,38.0
11.666033,38.0
11.703157,38.0
11.733086,38.0
11.759979,38.5
11.789497,38.5
11.820163,38.5
11.850912,39.0
11.88048,39.5
11.90856,39.5
11.938912,39.5
11.969755,39.5
12.000695,39.0
12.027458,39.5
12.055351,39.5
12.086462,39.5
12.119146,40.0
12.14932,40.0
12.178027,40.5
12.206843,40.5
12.23579,40.5
12.2647,40.5
12.293657,40.5
12.321916,41.0
12.352683,41.0
12.382445,41.0
12.410746,40.5
12.43776,40.5
12.46586,40.0
12.498991,40.0
12.533229,39.5
12.565768,39.0
12.59399,39.0
12.623851,39.0
12.653242,38.5
12.681912,38.5
12.710668,38.5
12.74203,38.5
12.774873,38.5
12.805159,38.0
12.839056,38.0
12.869907,37.5
12.901675,38.0
12.931204,38.0
12.964062,38.0
12.994526,38.5
13.027308,38.5
13.057935,38.5
13.089346,38.5
13.121345,38.5
13.149133,38.0
13.176653,38.0
13.206935,37.5
13.239334,37.5
13.271638,37.5
13.302167,37.5
13.335185,37.5
13.366725,38.0
13.397453,38.0
13.429581,38.0
13.461127,38.0
13.497674,38.0
13.526337,38.0
13.556969,38.5
13.587891,38.5
13.619995,39.0
13.650912,39.0
13.679705,39.5
13.709475,39.5
13.740565,40.0
13.770841,40.0
13.801557,40.0
13.832426,40.0
13.863011,40.0
13.895512,40.0
13.926717,40.5
13.958233,40.5
13.988963,41.0
14.021937,41.0
14.052467,41.5
14.083788,41.5
14.11415,42.0
14.1452,42.0
14.173702,42.0
14.202494,42.5
14.233244,43.0
14.263428,43.0
14.29425,43.0
14.324549,43.0
14.354177,43.0
14.383488,43.5
14.412219,43.5
14.442788,43.5
14.472675,43.0
14.503111,43.0
14.534642,43.0
14.563738,43.0
14.59015,42.5
14.619007,42.5
14.649572,42.5
14.678705,42.0
14.708831,42.0
14.736989,42.0
14.765974,42.0
14.794579,42.5
14.823357,42.5
14.852869,42.0
14.885407,42.0
14.913248,42.0
14.943156,42.0
14.97114,42.0
15.003261,42.5
15.031634,42.0
15.062515,42.0
15.093049,41.5
15.123546,41.5
15.154039,41.5
15.184365,41.5
15.212615,41.5
15.241711,41.0
15.276149,41.0
15.306335,41.5
15.337511,41.5
15.367039,42.0
15.39751,41.5
15.427728,41.5
15.457891,41.5
15.486304,41.0
15.514209,41.0
15.546083,40.5
15.572106,41.0
15.598801,40.5
15.626507,40.5
15.654689,41.0
15.682707,41.0
15.710978,41.0
15.741169,41.5
15.771095,42.0
15.808395,42.0
15.837962,43.0
15.867181,43.5
15.897787,43.5
15.927641,43.5
15.963096,43.5
15.992366,44.0
16.02486,44.5
16.056761,44.5
16.089408,44.0
16.122826,44.5
16.155429,44.0
16.187338,43.5
16.220866,43.0
16.252721,42.5
16.28423,42.0
16.314328,42.0
16.34781,41.5
16.384484,41.0
16.414613,41.0
16.444831,41.0
16.475075,41.0
16.50454,41.0
16.535315,41.5
16.566901,41.0
16.59673,41.0
16.627853,41.0
16.65742,41.0
16.687651,41.0
16.71649,41.0
16.746729,41.0
16.776219,41.0
16.805563,41.0
16.836515,41.0
16.867177,41.0
16.898544,41.0
16.928619,41.5
16.958447,41.0
16.988158,41.0
17.017357,41.0
17.047464,41.0
17.075395,40.5
17.103854,40.5
17.133136,41.0
17.160877,40.5
17.191817,40.5
17.221354,40.5
17.251282,40.5
17.277587,40.5
17.303382,40.5
17.330883,40.0
17.373615,40.0
17.422721,39.5
17.467599,40.0
17.506912,40.0
17.549202,40.0
17.592587,40.0
17.639944,40.0
17.683043,40.5
17.728064,41.0
17.770024,41.5
17.810382,42.0
17.857262,42.0
17.902233,42.5
17.944552,42.0
17.986866,42.0
18.030668,41.5
18.069618,42.0
18.106112,42.0
18.141175,42.0
18.177476,42.0
18.214337,42.5
18.252784,42.5
18.289074,43.0
18.3239,42.5
18.352095,43.0
18.379009,43.0
18.40755,43.0
18.43602,42.5
18.46628,42.0
18.494507,42.5
18.524577,42.0
18.554931,42.0
18.586039,42.5
18.614508,42.0
18.642405,42.0
18.669929,41.5
18.698317,41.5
18.726597,41.5
18.75567,41.5
18.785114,41.5
18.813263,41.5
18.841511,41.5
18.868844,41.5
18.897113,41.5
18.924466,41.5
18.953102,42.0
18.982336,42.0
19.009396,42.0
19.038943,41.5
19.067022,41.5
19.099067,41.5
19.129131,42.0
19.157443,42.0
19.18676,42.0
19.215471,42.0
19.242543,42.0
19.27084,41.5
19.30141,41.0
19.329915,41.0
19.361809,41.0
19.390772,40.5
19.419126,40.5
19.449875,40.5
19.477371,40.5
19.506602,40.5
19.533118,40.0
19.562258,40.0
19.59165,39.5
19.620042,39.5
19.652554,39.0
19.682419,39.0
19.70895,38.5
19.738269,38.5
19.768785,38.5
19.799053,38.5
19.826956,38.5
19.854488,38.5
19.881338,38.5
19.908741,38.0
19.936994,38.5
19.964137,38.5
19.990855,38.5
20.02146,38.5
20.052135,39.0
20.081997,39.5
20.111303,39.5
20.140103,39.5
20.169343,39.5
20.198143,39.5
20.227005,40.0
20.255673,40.0
20.285744,40.0
20.317241,40.0
20.344922,40.5
20.372943,40.5
20.401896,40.5
20.432997,40.5
20.463447,40.5
20.49452,40.5
20.525087,41.0
20.555673,40.5
