mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.68,"Sad":0.06,"Surprise":0.06},,,,""
0,FACE_AROUSAL_VALENCE,,,0.33,-0.36,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.23,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.63,"Sad":0.07,"Surprise":0.06},,,,""
0,FACE_AROUSAL_VALENCE,,,0.32,-0.35,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.26,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.61,"Sad":0.06,"Surprise":0.05},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.35,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.31,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.57,"Sad":0.06,"Surprise":0.05},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.35,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.28,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.6,"Sad":0.06,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.3,-0.34,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.28,"Disgust":0,"Fear":0,"Happy":0,"Neutral":0.61,"Sad":0.05,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.3,-0.34,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.3,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.6,"Sad":0.05,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.29,-0.34,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.31,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.58,"Sad":0.06,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,0.29,-0.33,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0.008863,FACE_DETECTOR,,,,,"",1,INIT,,""
0.008863,FACE_EMOTION,,Neutral,,,{"Angry":0.27,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.59,"Sad":0.07,"Surprise":0.06},,,,""
0.041735,FACE_AROUSAL_VALENCE,,,0.29,-0.33,"",,,,""
0.041864,FACE_ATTENTION,1,,,,"",,,,""
0.092401,FACE_DETECTOR,,,,,"",1,INIT,,""
0.097675,FACE_EMOTION,,Angry,,,{"Angry":0.46,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.4,"Sad":0.06,"Surprise":0.04},,,,""
0.099211,FACE_AROUSAL_VALENCE,,,0.3,-0.35,"",,,,""
0.099311,FACE_ATTENTION,1,,,,"",,,,""
0.120796,FACE_DETECTOR,,,,,"",1,INIT,,""
0.12633,FACE_EMOTION,,Neutral,,,{"Angry":0.4,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.46,"Sad":0.07,"Surprise":0.04},,,,""
0.127985,FACE_AROUSAL_VALENCE,,,0.3,-0.35,"",,,,""
0.128052,FACE_ATTENTION,1,,,,"",,,,""
0.147878,FACE_DETECTOR,,,,,"",1,INIT,,""
0.153906,FACE_EMOTION,,Neutral,,,{"Angry":0.4,"Disgust":0,"Fear":0.01,"Happy":0.01,"Neutral":0.44,"Sad":0.11,"Surprise":0.04},,,,""
0.155875,FACE_AROUSAL_VALENCE,,,0.3,-0.34,"",,,,""
0.15596,FACE_ATTENTION,1,,,,"",,,,""
0.188405,FACE_DETECTOR,,,,,"",1,INIT,,""
0.195809,FACE_EMOTION,,Neutral,,,{"Angry":0.36,"Disgust":0,"Fear":0.01,"Happy":0.02,"Neutral":0.43,"Sad":0.14,"Surprise":0.05},,,,""
0.197286,FACE_AROUSAL_VALENCE,,,0.29,-0.34,"",,,,""
0.197387,FACE_ATTENTION,1,,,,"",,,,""
0.220496,FACE_DETECTOR,,,,,"",1,INIT,,""
0.228195,FACE_EMOTION,,Neutral,,,{"Angry":0.28,"Disgust":0,"Fear":0.01,"Happy":0.02,"Neutral":0.52,"Sad":0.14,"Surprise":0.05},,,,""
0.229674,FACE_AROUSAL_VALENCE,,,0.3,-0.33,"",,,,""
0.229728,FACE_ATTENTION,1,,,,"",,,,""
0.250251,FACE_DETECTOR,,,,,"",1,INIT,,""
0.255329,FACE_EMOTION,,Neutral,,,{"Angry":0.26,"Disgust":0,"Fear":0.01,"Happy":0.02,"Neutral":0.52,"Sad":0.16,"Surprise":0.04},,,,""
0.25709,FACE_AROUSAL_VALENCE,,,0.29,-0.33,"",,,,""
0.257164,FACE_ATTENTION,1,,,,"",,,,""
0.277202,FACE_DETECTOR,,,,,"",1,INIT,,""
0.282456,FACE_EMOTION,,Neutral,,,{"Angry":0.24,"Disgust":0,"Fear":0.01,"Happy":0.02,"Neutral":0.52,"Sad":0.16,"Surprise":0.06},,,,""
0.284391,FACE_AROUSAL_VALENCE,,,0.29,-0.32,"",,,,""
0.284472,FACE_ATTENTION,1,,,,"",,,,""
0.306352,FACE_DETECTOR,,,,,"",1,INIT,,""
0.310757,FACE_EMOTION,,Neutral,,,{"Angry":0.22,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.54,"Sad":0.17,"Surprise":0.06},,,,""
0.312522,FACE_AROUSAL_VALENCE,,,0.28,-0.32,"",,,,""
0.312602,FACE_ATTENTION,1,,,,"",,,,""
0.335344,FACE_DETECTOR,,,,,"",1,INIT,,""
0.340232,FACE_EMOTION,,Neutral,,,{"Angry":0.19,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.57,"Sad":0.17,"Surprise":0.05},,,,""
0.341727,FACE_AROUSAL_VALENCE,,,0.28,-0.31,"",,,,""
0.341819,FACE_ATTENTION,1,,,,"",,,,""
0.363179,FACE_DETECTOR,,,,,"",1,INIT,,""
0.368029,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.6,"Sad":0.15,"Surprise":0.05},,,,""
0.370166,FACE_AROUSAL_VALENCE,,,0.27,-0.3,"",,,,""
0.370261,FACE_ATTENTION,1,,,,"",,,,""
0.391573,FACE_DETECTOR,,,,,"",1,INIT,,""
0.396891,FACE_EMOTION,,Neutral,,,{"Angry":0.21,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.58,"Sad":0.13,"Surprise":0.04},,,,""
0.398712,FACE_AROUSAL_VALENCE,,,0.27,-0.3,"",,,,""
0.398794,FACE_ATTENTION,1,,,,"",,,,""
0.42067,FACE_DETECTOR,,,,,"",1,INIT,,""
0.425936,FACE_EMOTION,,Neutral,,,{"Angry":0.22,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.6,"Sad":0.11,"Surprise":0.04},,,,""
0.427711,FACE_AROUSAL_VALENCE,,,0.27,-0.29,"",,,,""
0.427798,FACE_ATTENTION,1,,,,"",,,,""
0.447449,FACE_DETECTOR,,,,,"",1,INIT,,""
0.453727,FACE_EMOTION,,Neutral,,,{"Angry":0.21,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.6,"Sad":0.13,"Surprise":0.03},,,,""
0.455346,FACE_AROUSAL_VALENCE,,,0.26,-0.29,"",,,,""
0.455425,FACE_ATTENTION,1,,,,"",,,,""
0.475756,FACE_DETECTOR,,,,,"",1,INIT,,""
0.480585,FACE_EMOTION,,Neutral,,,{"Angry":0.21,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.59,"Sad":0.14,"Surprise":0.03},,,,""
0.482306,FACE_AROUSAL_VALENCE,,,0.25,-0.29,"",,,,""
0.482376,FACE_ATTENTION,1,,,,"",,,,""
0.503161,FACE_DETECTOR,,,,,"",1,INIT,,""
0.508383,FACE_EMOTION,,Neutral,,,{"Angry":0.18,"Disgust":0,"Fear":0,"Happy":0.01,"Neutral":0.64,"Sad":0.13,"Surprise":0.02},,,,""
0.510271,FACE_AROUSAL_VALENCE,,,0.25,-0.29,"",,,,""
