mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.1,"Disgust":0.03,"Fear":0.03,"Happy":0,"Neutral":0.56,"Sad":0.27,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,0.27,-0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.08,"Disgust":0.11,"Fear":0.05,"Happy":0,"Neutral":0.5,"Sad":0.25,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.32,-0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.09,"Disgust":0.1,"Fear":0.05,"Happy":0.01,"Neutral":0.5,"Sad":0.24,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.14,"Disgust":0.1,"Fear":0.05,"Happy":0.01,"Neutral":0.46,"Sad":0.23,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.31,-0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.13,"Disgust":0.08,"Fear":0.03,"Happy":0.01,"Neutral":0.53,"Sad":0.21,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.3,-0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Neutral,,,{"Angry":0.11,"Disgust":0.07,"Fear":0.03,"Happy":0,"Neutral":0.43,"Sad":0.35,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,0.29,-0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
