Media Time (seconds),Arousal (%)
0.0,74.5
0.0,73.5
0.0,72.5
0.0,72.0
0.0,71.0
0.0,70.5
0.0,70.0
0.0,69.5
0.0,69.0
0.0,68.0
0.021559,68.0
0.046319,67.5
0.074773,67.0
0.102621,67.0
0.131301,66.5
0.166939,66.5
0.196375,66.0
0.227295,66.0
0.256053,65.5
0.28831,65.5
0.31822,65.5
0.346789,65.0
0.375318,65.0
0.40605,65.0
0.43187,65.0
0.458563,65.0
0.485885,65.0
0.516157,65.0
0.543712,65.0
0.57144,65.0
0.599135,65.0
0.628378,65.0
0.662194,64.5
0.692471,64.0
0.721234,64.0
0.749802,63.5
0.779281,63.5
0.805507,63.0
0.832726,63.0
0.860556,63.0
0.890259,63.0
0.917147,63.0
0.949747,63.0
0.976023,63.5
1.003769,63.0
1.031631,63.0
1.062851,63.0
1.089056,63.0
1.116454,63.0
1.142364,63.0
1.169592,63.0
1.198063,62.5
1.225875,63.0
1.253723,63.0
1.281485,63.0
1.309968,63.5
1.3345,63.5
1.363645,63.5
1.389878,64.0
1.418083,64.0
1.449196,64.5
1.476965,65.0
1.501714,65.0
1.527197,65.0
1.555849,65.5
1.585151,65.5
1.612374,65.5
1.640087,65.5
1.670079,65.5
1.700617,66.0
1.728814,66.0
1.75706,66.0
1.786036,66.5
1.815624,66.5
1.84396,66.5
1.871487,66.0
1.899341,66.0
1.925434,66.0
1.95421,65.5
1.982834,65.0
2.009057,65.0
2.036989,64.5
2.067177,64.0
2.093642,63.5
2.123127,63.5
2.152894,63.0
2.181174,63.0
2.208654,63.0
2.236239,63.0
2.26548,63.0
2.29383,63.0
2.322957,63.0
2.351515,63.0
2.379525,63.0
2.406484,63.0
2.434359,63.0
2.460915,63.0
2.489046,63.5
2.518489,63.5
2.546975,63.5
2.574923,63.0
2.601682,63.5
2.629789,63.5
2.654695,63.5
2.681959,64.0
2.710498,64.0
2.736903,64.0
2.763049,64.0
2.791872,64.0
2.81969,64.0
2.848106,64.0
2.875916,64.5
2.900436,65.0
2.927371,65.0
2.955587,65.5
2.985608,65.5
3.012574,66.0
3.040694,66.0
3.066528,66.5
3.094562,66.5
3.123451,66.5
3.15,67.0
3.177233,67.0
3.20604,67.5
3.236095,67.5
3.264538,67.5
3.290563,68.0
3.320804,68.0
3.348743,68.0
3.376224,68.0
3.403215,68.0
3.431378,68.5
3.460428,68.5
3.48874,68.0
3.516993,68.5
3.555618,68.5
3.587548,68.5
3.618073,68.5
3.646795,68.5
3.676897,68.5
3.707661,68.5
3.740431,68.5
3.775997,69.0
3.804718,69.0
3.836311,69.0
3.867161,69.0
3.900135,68.5
3.933922,68.5
3.972537,68.0
4.006701,67.5
4.042357,67.0
4.07181,67.0
4.103788,66.5
4.137445,66.0
4.168845,65.5
4.203064,65.0
4.237692,65.0
4.265432,64.5
4.29824,64.5
4.328581,64.5
4.365928,64.5
4.39649,64.5
4.429414,64.5
4.461407,64.5
4.490392,65.0
4.522438,65.0
4.554971,65.0
4.584136,65.0
4.611158,65.0
4.639871,64.5
4.668094,64.5
4.695093,64.0
4.722896,64.0
4.750778,64.0
4.778442,64.0
4.809424,64.0
4.836949,63.5
4.864706,63.5
4.892817,63.5
4.920633,63.5
4.948883,64.0
4.97552,63.5
5.002787,63.5
5.031468,63.5
5.060785,63.5
5.089128,63.5
5.117567,64.0
5.145026,64.0
5.173074,64.0
5.198386,64.5
5.225444,64.5
5.253922,65.0
5.281271,65.0
5.309589,65.5
5.336374,65.5
5.364999,65.5
5.392768,65.5
5.42107,65.5
5.450087,66.0
5.476177,66.0
5.502581,66.0
5.532677,66.0
5.560996,66.0
5.589113,66.0
5.616055,66.0
5.64315,66.5
5.670715,66.5
5.700732,66.5
5.730091,67.0
5.757016,67.0
5.786245,67.5
5.81243,67.5
5.838514,68.0
5.865912,68.0
5.89331,68.0
5.919641,68.5
5.945625,69.0
5.971062,69.0
6.001329,69.0
6.027286,69.0
6.05468,69.5
6.082104,69.0
6.109979,69.0
6.137793,69.0
6.165689,69.5
6.190905,69.5
6.220345,69.5
6.247133,70.0
6.276757,70.0
6.302853,70.0
6.332513,70.0
6.359189,70.0
6.3867,70.5
6.414818,70.5
6.443603,70.5
6.471958,70.5
6.500049,70.5
6.528263,70.5
6.556804,70.5
6.585614,70.5
6.613034,70.5
6.638214,70.5
6.667587,70.0
6.69437,70.0
6.720346,70.0
6.747121,70.0
6.774807,70.0
6.803122,70.0
6.829647,70.0
6.8582,70.0
6.884693,70.0
6.910883,69.5
6.937825,69.5
6.966516,69.5
6.995635,69.5
7.022929,69.5
7.050001,69.5
7.079752,69.5
7.108737,69.5
7.136463,69.5
7.16325,69.5
7.194251,69.5
7.224027,69.5
7.254004,69.5
7.279964,69.5
7.305838,69.5
7.332302,69.5
7.359833,69.5
7.388278,70.0
7.41484,70.0
7.442184,70.0
7.470028,70.0
7.499107,70.0
7.525161,70.0
7.551731,70.0
7.578738,70.0
7.606384,70.0
7.634603,70.0
7.660862,70.0
7.690734,70.0
7.719804,70.0
7.748091,70.0
7.776791,70.0
7.804738,69.5
7.840636,69.5
7.86648,69.5
7.895193,69.5
7.923398,69.5
7.952026,69.0
7.979884,69.0
8.008465,69.5
8.037555,69.5
8.063939,69.5
8.092927,69.5
8.121506,69.5
8.148649,69.0
8.177814,69.0
8.205808,69.0
8.234111,69.0
8.262555,69.0
8.29083,69.0
8.317718,69.0
8.348506,69.5
8.375657,69.0
8.403205,69.0
8.430034,69.0
8.459603,69.0
8.487239,69.0
8.513767,69.0
8.541715,69.0
8.570219,69.0
8.600595,69.5
8.629891,69.0
8.655819,69.5
8.681627,69.5
8.707982,69.5
8.735603,69.5
8.763137,69.5
8.793115,69.5
8.820848,69.5
8.848159,70.0
8.875595,70.0
8.905046,70.0
8.933706,70.0
8.96122,70.0
8.98882,69.5
9.015499,69.5
9.042913,69.5
9.069872,69.5
9.098535,69.5
9.126672,69.5
9.152909,69.5
9.180856,69.5
9.208627,69.5
9.237228,70.0
9.263265,70.0
9.292692,70.0
9.318732,70.5
9.3463,71.0
9.37333,71.0
9.402029,71.0
9.431725,71.0
9.4585,71.0
9.48561,71.0
9.513218,70.5
9.540043,70.5
9.567099,70.5
9.594377,70.0
9.624154,70.0
9.652038,69.5
9.680383,69.0
9.708515,69.0
9.735932,68.5
9.762645,68.0
9.78798,68.0
9.815679,67.5
9.84317,67.5
9.871055,67.0
9.899108,66.5
9.928886,66.5
9.955667,66.5
9.981772,66.0
10.010495,66.0
10.040029,66.0
10.067104,66.0
10.094071,66.0
10.119995,66.0
10.150031,65.5
10.179353,65.5
10.207578,65.5
10.23566,65.5
10.264914,65.5
10.294811,65.5
10.322449,65.5
10.350994,65.5
10.380122,65.5
10.409746,65.5
10.437301,65.5
10.466855,65.5
10.495236,65.5
10.523722,65.5
10.551346,65.5
10.580128,65.5
10.608095,65.0
10.635646,65.0
10.662402,65.0
10.690374,64.5
10.7171,65.0
10.744615,65.0
10.773204,64.5
10.801936,65.0
10.831237,65.0
10.859756,65.0
10.886971,64.5
10.912952,65.0
10.940192,65.0
10.967421,65.0
10.994361,64.5
11.023365,64.5
11.049327,64.5
11.079554,64.0
11.108481,64.0
11.136867,63.5
11.165338,63.5
11.194886,63.5
11.222247,63.5
11.24712,63.5
11.273997,63.5
11.301104,63.5
11.328909,63.5
11.357884,63.5
11.385248,63.5
11.417504,63.5
11.445008,63.5
11.474452,64.0
11.500993,63.5
11.529807,63.5
11.55719,63.5
11.584444,63.5
11.61209,63.0
11.639125,62.5
11.666519,62.5
11.694786,62.0
11.725114,61.5
11.752506,61.5
11.781833,61.0
11.809401,61.0
11.836106,61.0
11.864492,61.0
11.892151,61.0
11.919022,60.5
11.945065,61.0
11.970853,61.0
11.998255,61.0
12.025166,61.5
12.052342,62.0
12.079108,62.0
12.107261,62.0
12.135907,62.0
12.163047,62.0
12.191186,62.0
12.21949,62.0
12.248442,62.5
12.274106,62.5
12.302273,62.5
12.330914,62.0
12.358709,62.0
12.385925,62.0
12.411633,62.0
12.440379,62.0
12.469614,61.5
12.496604,61.5
12.524205,61.0
12.550326,61.0
12.577744,61.0
12.603969,61.0
12.630846,60.5
12.659294,60.5
12.685925,60.5
12.714024,60.5
12.743992,60.5
12.770652,60.5
12.797945,60.0
12.826649,60.5
12.853238,60.5
12.881909,60.5
12.908687,61.0
12.937121,61.0
12.967415,61.5
12.998539,61.5
13.027061,62.0
13.05427,62.0
13.081319,62.5
13.109787,62.5
13.137484,63.0
13.167599,63.0
13.194993,63.0
13.220612,63.0
13.247194,63.5
13.274674,63.5
13.301837,63.5
13.328727,63.5
13.354531,63.5
13.381683,64.0
13.408469,64.0
13.437086,64.5
13.46594,64.5
