Media Time (seconds),Arousal (%)
0.0,70.0
0.0,60.5
0.0,61.5
0.0,62.5
0.0,62.5
0.0,63.5
0.0,64.0
0.0,64.0
0.0,64.0
0.0,64.0
0.0,64.0
0.0,63.5
0.0,63.0
0.0,63.0
0.0,62.5
0.0,62.5
0.0,61.5
0.0,61.5
0.0,61.0
0.0,61.0
0.0,61.5
0.0,61.0
0.0,61.5
0.0,62.0
0.0,62.0
0.0,62.5
0.0,63.0
0.0,63.0
0.0,63.5
0.0,64.0
0.0,64.0
0.0,64.5
0.0,64.5
0.0,64.5
0.0,64.5
0.0,64.5
0.0,64.0
0.0,64.0
0.0,63.5
0.0,63.0
0.0,63.0
0.0,63.0
0.0,62.5
0.0,62.5
0.0,62.5
0.0,62.5
0.0,63.0
0.0,63.0
0.0,63.0
0.0,63.0
0.0,63.0
0.0,62.5
0.0,63.0
0.0,63.0
0.0,63.0
0.019412,63.0
0.037509,63.5
0.077908,63.0
0.110392,63.0
0.159771,63.5
0.19567,64.0
0.229228,64.0
0.269437,64.5
0.301929,65.0
0.331334,65.5
0.366555,66.0
0.404064,66.0
0.446344,66.5
0.484136,67.0
0.519823,67.5
0.553473,68.0
0.584974,68.0
0.623012,68.0
0.655677,68.0
0.688376,68.0
0.722656,68.0
0.756829,68.0
0.788591,68.0
0.822388,68.0
0.85272,68.5
0.88775,68.5
0.916264,68.0
0.943015,68.0
0.973535,68.0
1.01057,67.5
1.042858,67.0
1.0753,66.5
1.115845,66.5
1.158071,66.0
1.189629,66.0
1.220076,66.0
1.253556,66.0
1.286604,66.0
1.322976,66.5
1.363851,66.5
1.394251,67.0
1.421916,67.0
1.455356,67.0
1.491583,67.0
1.523162,67.5
1.560268,67.5
1.594538,67.5
1.628663,68.0
1.658307,68.0
1.689975,68.0
1.722184,68.0
1.758579,68.5
1.793295,68.0
1.829139,68.0
1.857849,68.0
1.889972,68.0
1.921848,68.0
1.96532,68.0
2.004878,68.0
2.042234,68.0
2.078942,67.5
2.105709,67.5
2.138579,67.5
2.171672,68.0
2.208711,67.5
2.248134,68.0
2.282054,68.0
2.312657,68.5
2.341345,68.5
2.372917,68.5
2.405857,68.5
2.44105,68.5
2.48231,68.0
2.515022,68.0
2.541836,68.0
2.572308,67.5
2.603444,67.5
2.636546,67.0
2.671091,66.5
2.707745,66.5
2.745362,66.0
