Media Time (seconds),Arousal (%)
0.0,41.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.0
0.0,40.0
0.0,40.0
0.0,40.0
0.0,40.0
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,40.5
0.0,41.0
0.0,41.0
0.0,41.5
0.0,42.0
0.0,42.0
0.0,42.0
0.0,42.5
0.0,42.5
0.0,43.0
0.0,43.0
0.0,43.5
0.0,44.0
0.0,44.5
0.0,45.0
0.0,45.5
0.0,45.5
0.0,45.5
0.0,46.0
0.0,46.5
0.0,46.0
0.0,46.0
0.0,46.0
0.0,46.5
0.0,46.0
0.0,45.5
0.0,45.5
0.0,45.5
0.0,45.5
0.0,45.0
0.0,44.5
0.0,44.0
0.0,44.0
0.0,43.5
0.0,43.5
0.0,43.0
0.0,43.0
0.0,43.0
0.0,43.0
0.0,43.0
0.0,43.0
0.0,43.0
0.0,42.5
0.0,42.0
0.018928,42.0
0.112246,41.0
0.183062,43.0
0.237873,44.0
0.287519,45.5
0.34288,46.0
0.400101,46.5
0.45125,47.0
0.495791,51.0
0.53703,49.0
0.594412,48.0
0.628699,52.5
0.671871,51.5
0.70312,53.0
0.73189,53.5
0.761308,54.0
0.790391,54.0
0.824109,53.5
0.85273,53.0
0.885426,53.0
0.930263,53.5
0.977853,53.5
1.008823,54.0
1.054369,54.0
1.090176,53.0
1.121805,52.0
1.152992,51.5
1.185064,51.5
1.217939,48.5
1.250111,48.0
1.282473,47.0
1.314373,47.0
1.346517,47.5
1.376311,47.5
1.407214,47.0
1.440686,46.0
1.474403,45.5
1.505708,44.5
1.544536,44.5
1.582368,43.5
1.612842,42.5
1.642885,42.0
1.676323,42.0
1.70682,42.0
1.734788,41.5
1.763049,42.0
1.789975,41.5
1.818071,41.5
1.84418,41.5
1.87896,41.0
1.909212,40.5
1.93727,40.5
1.967242,40.0
1.996612,40.5
2.025843,40.5
2.059978,40.0
2.089884,39.5
2.116749,40.0
2.145425,40.0
2.219353,40.0
2.266498,38.5
2.300842,39.0
2.332238,39.0
2.365872,39.5
2.397986,39.5
2.43049,40.0
2.463148,40.0
2.497353,40.5
2.531814,41.0
2.569726,42.0
2.605216,42.0
2.63375,42.5
2.661062,42.5
2.689976,42.5
2.722499,42.5
2.749283,42.5
2.775931,42.5
2.805258,42.5
2.834757,42.5
2.865839,42.0
2.895713,42.0
2.924493,42.0
2.952382,41.5
2.981567,41.5
3.009683,41.0
3.037274,40.5
3.066396,40.0
3.093558,39.5
3.121242,39.5
3.14826,39.0
3.178486,39.0
3.211566,38.5
3.24361,38.0
3.272356,37.5
3.309295,37.5
3.343348,37.5
3.377652,37.5
3.409776,38.0
3.443362,38.0
3.475867,38.5
3.508495,39.0
3.542625,39.5
3.579504,40.0
3.607239,40.5
3.633199,41.0
3.661302,41.5
3.689984,42.5
3.71786,43.0
3.745986,44.0
3.773884,44.5
3.801223,45.0
3.833288,45.0
3.858992,45.0
3.886617,45.0
3.915301,44.5
3.941909,44.5
3.972192,44.0
3.999,43.5
4.026004,43.5
4.054986,43.0
4.082799,42.5
4.111272,42.0
4.13992,41.5
4.165902,41.0
4.192877,40.5
4.220627,40.0
4.253667,40.0
4.283156,39.5
4.308548,39.0
4.336305,39.0
4.363705,38.5
4.390288,38.0
4.419014,38.0
4.44591,37.5
4.473447,37.5
4.501138,37.5
4.527718,37.5
4.556771,37.5
4.588101,37.5
4.614651,37.5
4.645703,38.0
4.674103,38.0
4.700875,38.5
4.727961,39.0
4.760158,39.5
4.788037,40.0
4.816256,40.5
4.843136,41.0
4.870173,41.5
4.89906,42.5
4.926555,42.5
4.952859,43.0
4.984722,43.0
5.01483,43.0
5.042911,43.0
5.071117,43.5
5.101663,44.0
5.129685,44.0
5.156698,44.5
5.185161,45.5
5.212603,46.0
5.240015,46.0
5.266839,46.0
5.293286,46.0
5.318549,46.0
5.344887,46.0
5.370943,45.5
5.429642,45.5
5.513999,43.0
5.604795,43.5
5.695836,41.0
5.78647,42.0
5.877423,41.0
5.969484,39.5
6.059609,39.5
6.150038,40.0
6.252424,40.5
6.363094,40.5
6.420612,40.0
6.448804,40.5
6.475019,40.5
6.502845,41.0
6.52971,41.0
6.558795,41.5
6.585638,42.0
6.613381,42.5
6.642344,43.0
6.669209,43.5
6.69628,44.5
6.725587,45.0
6.753618,45.5
6.781674,46.5
6.809884,47.5
6.836942,48.5
6.864543,50.0
6.893373,50.5
6.922339,49.5
6.95002,49.5
6.977796,51.5
7.005412,52.0
7.03353,53.0
7.061294,53.5
7.090777,53.5
7.118527,53.0
7.148905,52.5
7.180417,53.0
7.211509,53.5
7.24492,54.0
7.276562,54.0
7.318839,53.5
7.348021,52.5
7.376159,52.5
7.404998,51.5
7.432848,49.0
7.462604,47.5
7.489175,47.5
7.517441,47.5
7.545281,47.5
7.574168,48.5
7.602052,48.0
7.631565,47.5
7.660198,47.0
7.688631,47.0
7.724056,46.0
7.751298,45.5
7.778234,45.0
7.806503,44.5
7.833636,43.5
7.865868,43.0
7.893832,42.5
7.941146,42.0
7.997117,41.0
8.03379,40.5
8.06283,40.5
8.090772,40.5
8.11858,40.5
8.14796,40.5
8.178103,40.5
8.20689,40.5
8.235509,40.5
8.268792,40.5
8.294084,40.5
8.32069,40.5
8.34704,40.5
8.375115,40.5
8.403954,40.5
8.430343,40.5
8.457223,41.0
8.484122,41.0
8.512239,41.0
8.54008,40.5
8.568285,40.5
8.596391,40.5
8.623859,40.5
8.649059,40.5
8.675222,40.5
8.704792,41.0
8.737263,41.0
8.767032,42.0
8.796268,42.0
8.825165,42.5
8.854047,42.5
8.882012,43.0
8.911196,44.0
8.943374,44.5
8.972033,45.5
9.002925,47.0
9.032523,48.0
9.078907,52.0
9.123312,52.0
9.169831,51.0
9.208634,53.5
9.248984,52.5
9.280123,53.5
9.308232,54.0
9.337495,54.50000000000001
9.367537,54.50000000000001
9.398602,54.50000000000001
9.433425,54.50000000000001
9.474959,53.5
9.521853,52.0
9.573894,49.0
9.628166,49.5
9.682082,52.0
9.740621,47.5
9.799095,46.0
9.856148,47.5
9.910711,49.0
9.970763,53.0
10.019772,55.50000000000001
10.05383,56.00000000000001
10.083036,57.00000000000001
10.116324,57.49999999999999
10.151025,57.99999999999999
10.183759,58.5
10.213311,59.0
10.248479,59.5
10.281562,59.5
10.312467,60.0
10.344974,60.5
10.377784,61.0
10.410146,61.0
10.44174,61.5
10.475487,61.5
10.517663,61.5
10.545899,61.5
10.572897,61.5
10.600133,62.0
10.626524,62.0
10.654047,62.0
10.682803,62.0
10.712695,62.0
10.742639,62.0
10.772817,62.5
10.800349,62.5
10.830598,62.5
10.859151,62.5
10.887554,62.5
10.920638,63.0
10.947886,63.0
10.976624,63.0
11.003145,63.0
11.030774,62.5
11.059173,62.5
11.086043,62.0
11.113177,62.0
11.141343,61.5
11.169184,61.0
11.195651,60.5
11.223526,60.0
11.251232,59.5
11.280047,59.5
11.307642,59.0
11.335655,58.5
11.36268,58.5
11.391578,57.99999999999999
11.419413,57.99999999999999
11.451919,57.49999999999999
11.486956,57.49999999999999
11.522083,57.49999999999999
11.552453,57.99999999999999
11.586278,57.99999999999999
11.616914,57.99999999999999
11.646371,57.99999999999999
11.679071,57.49999999999999
11.714419,57.00000000000001
11.749335,56.49999999999999
11.784155,55.50000000000001
11.813291,54.50000000000001
11.846777,53.0
11.876358,49.0
11.905359,46.5
11.933246,45.5
11.962431,44.0
11.990777,43.5
12.018374,43.0
12.047216,42.5
12.075509,42.0
12.103168,41.5
12.131649,40.5
12.159802,40.0
12.186131,39.5
12.212979,39.0
12.238763,39.0
12.267414,38.5
12.295638,38.0
12.32234,38.0
12.350465,37.5
12.377373,37.5
12.404698,37.0
12.433688,37.0
12.460733,36.5
12.488957,36.0
12.517868,35.5
12.545796,35.5
12.573066,35.0
12.60057,34.5
12.627334,34.5
12.655217,34.5
12.68215,34.5
12.719998,34.5
12.755304,34.5
12.783009,34.5
12.811862,35.0
12.839848,35.0
12.869341,35.0
12.89733,35.0
12.925418,35.0
12.954431,35.0
12.981542,35.0
13.008582,35.0
13.03552,35.0
13.064297,35.5
13.092031,35.5
13.119291,36.0
13.148723,36.0
13.174898,36.5
13.203365,37.0
13.232716,37.0
13.262138,37.0
13.289858,37.5
13.31658,37.5
13.344086,37.5
13.372128,37.5
13.400515,37.0
13.428305,37.0
13.457187,37.0
13.48446,36.5
13.515059,36.5
13.546818,36.0
13.578867,36.0
13.612974,35.5
13.648748,35.5
13.690606,35.0
13.722582,34.5
13.751108,34.5
13.77935,34.5
13.807388,34.5
13.835264,34.5
13.861622,35.0
13.889676,35.0
13.918845,35.0
13.948334,35.0
13.978687,35.0
14.007346,35.0
14.035601,34.5
14.062246,34.5
14.090426,34.5
14.11843,34.5
14.146798,34.0
14.17585,34.0
14.204124,33.5
14.231975,33.5
14.260242,33.5
14.289799,32.99999999999999
14.31691,32.5
14.345294,32.5
14.373032,32.0
14.403827,32.0
14.436092,32.0
14.469039,32.0
14.502141,31.5
14.53477,32.0
14.565215,31.5
14.601021,31.5
14.630934,31.5
14.659468,31.5
14.689876,32.0
14.717147,32.0
14.745005,31.5
14.772832,31.5
14.801662,31.5
14.829947,31.5
14.855908,31.5
14.884227,31.5
14.910908,31.5
14.938037,31.5
14.968075,31.5
14.996531,32.0
15.022655,32.0
15.049453,32.0
15.077151,32.0
15.104559,32.5
15.131977,32.5
15.158965,32.5
15.186735,32.99999999999999
15.214709,32.99999999999999
15.240777,32.99999999999999
15.269823,33.5
15.300508,33.5
15.329421,33.5
15.357794,34.0
15.385558,34.0
15.412561,33.5
15.438706,33.5
15.465588,33.5
15.49905,32.99999999999999
15.526663,32.99999999999999
15.554812,32.99999999999999
15.581335,32.99999999999999
15.60765,32.99999999999999
15.638019,32.99999999999999
15.664134,32.99999999999999
15.691588,32.99999999999999
15.719913,32.99999999999999
15.749029,32.99999999999999
15.781207,32.99999999999999
15.808302,32.99999999999999
15.837011,32.99999999999999
15.866278,32.5
15.893889,32.5
15.920761,32.5
15.949464,32.0
15.976176,32.0
16.003543,32.0
16.034794,32.0
16.062813,32.0
16.092011,31.5
16.118574,31.5
16.147096,31.5
16.174133,31.5
16.211595,31.5
16.25411,31.5
16.297736,32.0
16.333688,32.0
16.379057,32.5
16.410308,32.5
16.438178,32.5
16.467265,32.5
16.499686,32.99999999999999
16.527004,32.99999999999999
16.55429,32.99999999999999
16.580259,32.99999999999999
16.607405,32.99999999999999
16.634617,32.99999999999999
16.663002,32.99999999999999
16.690223,32.99999999999999
16.716937,32.99999999999999
16.750484,32.99999999999999
16.778191,32.99999999999999
16.809107,32.99999999999999
16.836591,32.99999999999999
16.863719,32.99999999999999
16.89036,32.99999999999999
16.919041,32.99999999999999
16.945407,32.99999999999999
16.973548,32.99999999999999
17.001774,32.99999999999999
17.028768,32.5
17.055103,32.5
17.081338,32.5
17.111342,32.5
17.137382,32.0
17.169388,32.0
17.196463,32.5
17.223002,32.5
17.266635,32.5
17.296929,32.0
17.324286,32.0
17.351372,32.0
17.378677,31.5
17.406225,31.5
17.43336,31.5
17.462014,31.5
17.489958,31.5
17.518313,31.0
17.545495,31.0
17.571497,31.0
17.599816,31.0
17.626591,31.0
17.657696,31.0
17.685589,31.0
17.712656,31.0
17.739936,30.5
17.766652,30.5
17.793871,30.5
17.819669,30.5
17.846589,30.5
17.87358,30.5
17.916709,30.0
17.946388,30.0
17.973212,30.0
18.000571,30.0
18.026779,30.0
18.053166,30.0
18.080442,30.0
18.111815,30.0
18.142243,30.5
18.169482,30.5
18.197597,30.5
18.223688,30.5
18.249853,31.0
18.277401,31.0
18.307658,31.0
18.336552,31.0
18.362896,31.0
18.390998,31.0
18.420036,31.0
18.448187,31.0
18.474352,31.0
18.504058,31.0
18.534631,30.5
18.562926,30.5
18.588542,30.5
18.616743,30.5
18.645362,31.0
18.673334,31.0
18.700627,31.0
18.728505,31.5
18.756362,31.5
18.783709,31.5
18.811527,32.0
18.839733,32.0
18.865759,32.0
18.89329,32.5
18.919832,32.5
18.946919,32.5
18.975335,32.5
19.000997,32.5
19.02872,32.5
19.057184,32.5
19.084668,32.5
19.112113,32.5
19.139398,32.99999999999999
19.168479,32.99999999999999
19.195785,32.99999999999999
19.223036,32.99999999999999
19.252299,33.5
19.280551,34.0
19.309661,34.0
19.335804,34.5
19.363933,34.5
19.392808,34.5
