Media Time (seconds),Arousal (%)
0.0,44.0
0.0,45.0
0.0,38.0
0.0,38.0
0.0,38.0
0.262126,38.0
0.788412,38.0
1.479189,38.0
2.03418,38.0
2.518,40.5
3.690667,30.5
3.690667,38.5
3.690667,26.5
4.019948,27.500000000000004
4.457696,31.5
4.887576,27.500000000000004
5.308089,32.5
5.76178,53.0
6.249459,67.5
6.749108,67.0
7.151838,61.5
7.16127,56.00000000000001
7.16127,63.0
7.16127,68.0
7.16127,61.0
7.16127,37.0
7.16127,51.5
7.16127,64.5
7.16127,74.0
7.773423,40.0
8.202417,65.0
8.590067,70.5
8.934366,68.5
9.302163,68.0
9.759695,66.5
10.203887,71.5
10.400309,71.0
10.400309,72.0
10.400309,74.5
10.400309,73.0
10.400309,71.5
10.400309,71.5
11.10077,71.5
11.56903,73.0
11.967787,70.5
12.354915,70.5
12.723474,68.5
13.097867,70.0
13.53907,71.0
13.971352,70.5
14.058489,68.5
14.058489,71.5
14.058489,72.0
14.058489,69.5
14.058489,67.5
14.058489,37.5
14.058489,63.0
14.058489,74.5
14.058489,72.5
14.058489,76.5
14.658902,76.5
14.806542,72.0
15.231514,69.5
15.835699,71.0
16.336058,74.5
16.838105,72.0
17.29466,74.0
17.751206,75.5
17.758823,73.5
17.758823,75.0
17.758823,77.0
17.758823,75.0
17.758823,72.5
17.758823,74.5
17.758823,43.0
17.758823,72.0
17.758823,75.5
17.758823,78.49999999999999
18.368,78.0
18.368,78.0
18.368,78.0
18.713214,74.0
19.173741,72.5
19.636613,73.0
20.145467,75.0
20.247951,77.0
20.247951,76.5
20.247951,73.0
20.247951,72.5
20.247951,74.5
20.247951,74.0
21.013662,74.5
21.423182,75.0
21.897533,70.0
22.314095,69.0
22.700447,68.5
23.105458,72.0
23.539681,72.5
23.639184,72.0
23.639184,72.5
23.639184,76.0
23.639184,78.0
23.639184,76.0
23.639184,72.0
23.639184,62.5
23.639184,65.0
23.639184,71.0
24.529016,75.5
25.007775,76.0
25.452833,76.5
25.854353,75.5
26.219055,73.5
26.569019,76.0
26.964401,74.0
27.177465,76.0
27.177465,74.5
27.177465,76.0
27.177465,76.5
27.177465,67.5
27.177465,72.0
27.177465,71.5
27.177465,73.0
27.177465,75.5
27.80238,77.5
28.224417,73.0
28.667778,75.5
29.071087,76.0
29.412485,75.0
29.790043,77.5
30.152385,77.5
30.540985,77.0
30.950586,76.0
30.95841,74.0
30.95841,76.5
30.95841,73.5
31.389721,71.5
31.920458,70.5
32.475006,72.0
32.880865,73.5
33.244599,73.0
33.6,71.5
33.6,53.5
33.6,60.5
33.6,44.0
33.6,65.0
