mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0.07,"Disgust":0.14,"Fear":0.1,"Happy":0.49,"Neutral":0.17,"Sad":0.01,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.02,0.65,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0.05,"Disgust":0.1,"Fear":0.12,"Happy":0.52,"Neutral":0.18,"Sad":0.01,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.04,0.64,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0.07,"Disgust":0.17,"Fear":0.13,"Happy":0.37,"Neutral":0.21,"Sad":0.01,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.08,0.61,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.15,"Disgust":0.23,"Fear":0.18,"Happy":0.22,"Neutral":0.18,"Sad":0.01,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,0.03,0.6,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0.11,"Disgust":0.21,"Fear":0.14,"Happy":0.31,"Neutral":0.19,"Sad":0.02,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.04,0.59,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.15,"Disgust":0.25,"Fear":0.11,"Happy":0.27,"Neutral":0.17,"Sad":0.02,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.08,0.57,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.14,"Disgust":0.25,"Fear":0.09,"Happy":0.28,"Neutral":0.2,"Sad":0.01,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.1,0.56,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Happy,,,{"Angry":0.1,"Disgust":0.19,"Fear":0.09,"Happy":0.39,"Neutral":0.2,"Sad":0.01,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.08,0.57,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0.00121,FACE_DETECTOR,,,,,"",1,INIT,,""
0.017907,FACE_EMOTION,,Happy,,,{"Angry":0.16,"Disgust":0.15,"Fear":0.13,"Happy":0.31,"Neutral":0.21,"Sad":0.01,"Surprise":0.03},,,,""
0.017907,FACE_AROUSAL_VALENCE,,,-0.1,0.56,"",,,,""
0.017907,FACE_ATTENTION,1,,,,"",,,,""
0.110733,FACE_DETECTOR,,,,,"",1,INIT,,""
0.178567,FACE_EMOTION,,,,,{"Angry":0.15,"Disgust":0.17,"Fear":0.2,"Happy":0.24,"Neutral":0.18,"Sad":0.01,"Surprise":0.04},,,,""
0.184909,FACE_AROUSAL_VALENCE,,,-0.08,0.52,"",,,,""
0.185134,FACE_ATTENTION,1,,,,"",,,,""
0.274705,FACE_DETECTOR,,,,,"",1,INIT,,""
0.275695,FACE_ATTENTION,0.93,,,,"",,,,""
0.313472,FACE_DETECTOR,,,,,"",1,INIT,,""
0.314172,FACE_ATTENTION,0.92,,,,"",,,,""
0.353029,FACE_DETECTOR,,,,,"",1,INIT,,""
0.35428,FACE_ATTENTION,0.92,,,,"",,,,""
0.395281,FACE_DETECTOR,,,,,"",1,INIT,,""
0.418659,FACE_EMOTION,,Happy,,,{"Angry":0.04,"Disgust":0.09,"Fear":0.02,"Happy":0.83,"Neutral":0.02,"Sad":0,"Surprise":0},,,,""
0.424656,FACE_AROUSAL_VALENCE,,,-0.06,0.57,"",,,,""
0.424871,FACE_ATTENTION,0.92,,,,"",,,,""
0.478441,FACE_DETECTOR,,,,,"",1,INIT,,""
0.51088,FACE_EMOTION,,Happy,,,{"Angry":0.07,"Disgust":0.1,"Fear":0.17,"Happy":0.63,"Neutral":0.02,"Sad":0,"Surprise":0.01},,,,""
0.519769,FACE_AROUSAL_VALENCE,,,-0.03,0.56,"",,,,""
0.520285,FACE_ATTENTION,0.92,,,,"",,,,""
0.592723,FACE_DETECTOR,,,,,"",1,INIT,,""
0.594614,FACE_ATTENTION,0.9,,,,"",,,,""
0.665604,FACE_DETECTOR,,,,,"",1,INIT,,""
0.696535,FACE_EMOTION,,Disgust,,,{"Angry":0.16,"Disgust":0.3,"Fear":0.17,"Happy":0.28,"Neutral":0.07,"Sad":0,"Surprise":0.02},,,,""
0.704823,FACE_AROUSAL_VALENCE,,,0.04,0.49,"",,,,""
0.705159,FACE_ATTENTION,0.9,,,,"",,,,""
0.792918,FACE_DETECTOR,,,,,"",,INIT,,""
0.794504,FACE_ATTENTION,0.87,,,,"",,,,""
0.862583,FACE_DETECTOR,,,,,"",,INIT,,""
0.865518,FACE_ATTENTION,0.86,,,,"",,,,""
0.923383,FACE_DETECTOR,,,,,"",,INIT,,""
0.924414,FACE_ATTENTION,0.84,,,,"",,,,""
0.965077,FACE_DETECTOR,,,,,"",,INIT,,""
0.965871,FACE_ATTENTION,0.83,,,,"",,,,""
1.003534,FACE_DETECTOR,,,,,"",,INIT,,""
1.004308,FACE_ATTENTION,0.82,,,,"",,,,""
1.041182,FACE_DETECTOR,,,,,"",,INIT,,""
1.041881,FACE_ATTENTION,0.81,,,,"",,,,""
1.126971,FACE_DETECTOR,,,,,"",,INIT,,""
1.127319,FACE_ATTENTION,0.78,,,,"",,,,""
1.180015,FACE_DETECTOR,,,,,"",,INIT,,""
1.180817,FACE_ATTENTION,0.77,,,,"",,,,""
1.215604,FACE_DETECTOR,,,,,"",,INIT,,""
1.216192,FACE_ATTENTION,0.76,,,,"",,,,""
1.272133,FACE_DETECTOR,,,,,"",,INIT,,""
1.27378,FACE_ATTENTION,0.74,,,,"",,,,""
1.337195,FACE_DETECTOR,,,,,"",,INIT,,""
1.338615,FACE_ATTENTION,0.72,,,,"",,,,""
1.41088,FACE_DETECTOR,,,,,"",,INIT,,""
1.443523,FACE_EMOTION,,Fear,,,{"Angry":0.27,"Disgust":0.17,"Fear":0.36,"Happy":0.07,"Neutral":0.07,"Sad":0,"Surprise":0.05},,,,""
1.451739,FACE_AROUSAL_VALENCE,,,0.29,0.23,"",,,,""
1.452101,FACE_ATTENTION,0.71,,,,"",,,,""
1.542737,FACE_DETECTOR,,,,,"",,INIT,,""
1.575791,FACE_EMOTION,,,,,{"Angry":0.19,"Disgust":0.29,"Fear":0.29,"Happy":0.11,"Neutral":0.08,"Sad":0,"Surprise":0.04},,,,""
1.58388,FACE_AROUSAL_VALENCE,,,0.18,0.32,"",,,,""
1.584257,FACE_ATTENTION,0.71,,,,"",,,,""
1.669419,FACE_DETECTOR,,,,,"",,INIT,,""
1.700881,FACE_EMOTION,,,,,{"Angry":0.29,"Disgust":0.25,"Fear":0.26,"Happy":0.1,"Neutral":0.06,"Sad":0,"Surprise":0.04},,,,""
1.70946,FACE_AROUSAL_VALENCE,,,0.23,0.29,"",,,,""
1.709782,FACE_ATTENTION,0.72,,,,"",,,,""
1.799386,FACE_DETECTOR,,,,,"",,INIT,,""
1.832283,FACE_EMOTION,,Fear,,,{"Angry":0.27,"Disgust":0.17,"Fear":0.36,"Happy":0.06,"Neutral":0.07,"Sad":0,"Surprise":0.06},,,,""
1.84074,FACE_AROUSAL_VALENCE,,,0.26,0.24,"",,,,""
1.841273,FACE_ATTENTION,0.74,,,,"",,,,""
1.934139,FACE_DETECTOR,,,,,"",1,INIT,,""
1.965725,FACE_EMOTION,,Disgust,,,{"Angry":0.12,"Disgust":0.33,"Fear":0.18,"Happy":0.28,"Neutral":0.05,"Sad":0,"Surprise":0.03},,,,""
1.975528,FACE_AROUSAL_VALENCE,,,0.22,0.31,"",,,,""
1.975975,FACE_ATTENTION,0.77,,,,"",,,,""
2.062738,FACE_DETECTOR,,,,,"",1,INIT,,""
2.092963,FACE_EMOTION,,Happy,,,{"Angry":0.06,"Disgust":0.29,"Fear":0.09,"Happy":0.5,"Neutral":0.04,"Sad":0,"Surprise":0.01},,,,""
2.10367,FACE_AROUSAL_VALENCE,,,0.17,0.35,"",,,,""
