mediaTime,type,attention,dominantEmotion,arousal,valence,emotions,totalFaces,status,alarmTriggered,aggregatedData
,GEO_INFO,,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.14,"Disgust":0.19,"Fear":0.27,"Happy":0.13,"Neutral":0.15,"Sad":0.02,"Surprise":0.1},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,0.4,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.16,"Disgust":0.27,"Fear":0.23,"Happy":0.15,"Neutral":0.1,"Sad":0.07,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,0.4,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.18,"Disgust":0.27,"Fear":0.19,"Happy":0.21,"Neutral":0.08,"Sad":0.06,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,0.4,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.12,"Disgust":0.32,"Fear":0.12,"Happy":0.3,"Neutral":0.09,"Sad":0.04,"Surprise":0.01},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.18,0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.15,"Disgust":0.3,"Fear":0.15,"Happy":0.25,"Neutral":0.1,"Sad":0.03,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.17,0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.18,"Disgust":0.28,"Fear":0.24,"Happy":0.16,"Neutral":0.1,"Sad":0.02,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.14,0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.2,"Disgust":0.31,"Fear":0.18,"Happy":0.18,"Neutral":0.09,"Sad":0.02,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.14,0.42,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.2,"Disgust":0.38,"Fear":0.13,"Happy":0.18,"Neutral":0.06,"Sad":0.01,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.16,0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.14,"Disgust":0.36,"Fear":0.09,"Happy":0.23,"Neutral":0.12,"Sad":0.03,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.16,0.44,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.12,"Disgust":0.28,"Fear":0.14,"Happy":0.24,"Neutral":0.14,"Sad":0.04,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.16,0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.12,"Disgust":0.25,"Fear":0.16,"Happy":0.21,"Neutral":0.17,"Sad":0.05,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.17,0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.12,"Disgust":0.24,"Fear":0.18,"Happy":0.19,"Neutral":0.19,"Sad":0.04,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.17,0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.13,"Disgust":0.32,"Fear":0.11,"Happy":0.21,"Neutral":0.16,"Sad":0.04,"Surprise":0.02},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.16,0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.12,"Disgust":0.29,"Fear":0.14,"Happy":0.2,"Neutral":0.18,"Sad":0.04,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.17,0.47,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.15,"Disgust":0.29,"Fear":0.12,"Happy":0.21,"Neutral":0.17,"Sad":0.04,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.17,0.46,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.14,"Disgust":0.3,"Fear":0.1,"Happy":0.19,"Neutral":0.19,"Sad":0.04,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.17,0.45,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Disgust,,,{"Angry":0.19,"Disgust":0.4,"Fear":0.07,"Happy":0.19,"Neutral":0.09,"Sad":0.02,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.18,0.43,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,Angry,,,{"Angry":0.31,"Disgust":0.25,"Fear":0.09,"Happy":0.09,"Neutral":0.19,"Sad":0.02,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,0.39,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.18,"Disgust":0.27,"Fear":0.12,"Happy":0.17,"Neutral":0.2,"Sad":0.04,"Surprise":0.03},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0,FACE_DETECTOR,,,,,"",1,INIT,,""
0,FACE_EMOTION,,,,,{"Angry":0.15,"Disgust":0.29,"Fear":0.12,"Happy":0.18,"Neutral":0.19,"Sad":0.04,"Surprise":0.04},,,,""
0,FACE_AROUSAL_VALENCE,,,-0.19,0.41,"",,,,""
0,FACE_ATTENTION,1,,,,"",,,,""
0.010274,FACE_DETECTOR,,,,,"",1,INIT,,""
0.03066,FACE_EMOTION,,Disgust,,,{"Angry":0.16,"Disgust":0.34,"Fear":0.13,"Happy":0.13,"Neutral":0.15,"Sad":0.04,"Surprise":0.06},,,,""
0.036034,FACE_AROUSAL_VALENCE,,,-0.19,0.4,"",,,,""
0.036202,FACE_ATTENTION,1,,,,"",,,,""
0.084689,FACE_DETECTOR,,,,,"",1,INIT,,""
0.106419,FACE_EMOTION,,,,,{"Angry":0.16,"Disgust":0.29,"Fear":0.07,"Happy":0.27,"Neutral":0.16,"Sad":0.03,"Surprise":0.03},,,,""
0.111482,FACE_AROUSAL_VALENCE,,,-0.22,0.42,"",,,,""
0.11165,FACE_ATTENTION,0.99,,,,"",,,,""
0.16788,FACE_DETECTOR,,,,,"",1,INIT,,""
0.169278,FACE_ATTENTION,0.98,,,,"",,,,""
0.206931,FACE_DETECTOR,,,,,"",1,INIT,,""
0.207695,FACE_ATTENTION,0.97,,,,"",,,,""
0.242834,FACE_DETECTOR,,,,,"",1,INIT,,""
0.2436,FACE_ATTENTION,0.96,,,,"",,,,""
0.245054,DATA_AGGREGATOR,,,,,"",,,,""
0.277313,FACE_DETECTOR,,,,,"",1,INIT,,""
0.277957,FACE_ATTENTION,0.96,,,,"",,,,""
0.310032,FACE_DETECTOR,,,,,"",1,INIT,,""
0.310851,FACE_ATTENTION,0.95,,,,"",,,,""
0.341925,FACE_DETECTOR,,,,,"",1,INIT,,""
0.342583,FACE_ATTENTION,0.94,,,,"",,,,""
0.373795,FACE_DETECTOR,,,,,"",1,INIT,,""
0.374742,FACE_ATTENTION,0.93,,,,"",,,,""
