mediaTime,attention,dominantEmotion,arousal,valence,emotion
0,,,,,
0,,Surprise,,,
0,,,-0.75,-0.16,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.84,-0.2,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.85,-0.15,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.85,-0.13,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.85,-0.11,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.85,-0.1,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.86,-0.08,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.86,-0.04,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.86,0.06,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.86,0.11,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.87,0.12,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.87,0.14,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.87,0.16,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.87,0.18,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.87,0.2,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.87,0.22,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.88,0.24,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.63,0.33,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.66,0.34,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.7,0.36,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.71,0.35,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.73,0.36,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.74,0.36,
0,0,,,,
0,,,,,
0,,Disgust,,,
0,,,-0.75,0.36,
0,0,,,,
0.044010249999701045,,,,,
0.0565538750088308,,Disgust,,,
