Media Time (seconds),Attention (%),Valence (%),Arousal (%)
0.0,100.0,84.5,74.5
0.0,100.0,80.5,73.5
0.0,100.0,77.5,72.5
0.0,100.0,76.5,72.0
0.0,100.0,75.0,71.0
0.0,100.0,73.5,70.5
0.0,100.0,72.5,70.0
0.0,99.0,71.0,69.5
0.0,99.0,69.5,69.0
0.0,99.0,68.5,68.0
0.021559,99.0,64.0,68.0
0.04642,100.0,61.0,67.5
0.074854,100.0,59.5,67.0
0.102728,100.0,57.99999999999999,67.0
0.13142,99.0,56.49999999999999,66.5
0.167003,99.0,55.00000000000001,66.5
0.196435,99.0,53.0,66.0
0.227384,100.0,49.5,66.0
0.256144,100.0,47.5,65.5
0.288394,100.0,46.0,65.5
0.318307,100.0,45.5,65.5
0.346881,100.0,45.5,65.0
0.375485,100.0,45.5,65.0
0.406124,100.0,45.5,65.0
0.431937,100.0,46.0,65.0
0.458617,100.0,46.5,65.0
0.485967,100.0,47.0,65.0
0.516253,100.0,48.5,65.0
0.543775,100.0,52.0,65.0
0.571552,100.0,53.5,65.0
0.599234,100.0,54.50000000000001,65.0
0.628496,100.0,55.50000000000001,65.0
0.662317,100.0,56.49999999999999,64.5
0.692561,100.0,57.49999999999999,64.0
0.721342,100.0,58.5,64.0
0.749885,100.0,59.5,63.5
0.779409,100.0,60.0,63.5
0.805603,100.0,61.0,63.0
0.832814,100.0,61.5,63.0
0.860651,100.0,62.5,63.0
0.890323,100.0,63.0,63.0
0.917227,100.0,63.5,63.0
0.949895,100.0,64.0,63.0
0.976113,100.0,64.5,63.5
1.003862,100.0,65.0,63.0
1.031706,100.0,65.5,63.0
1.062963,100.0,65.5,63.0
1.089143,100.0,66.0,63.0
1.116539,100.0,66.5,63.0
1.142447,100.0,66.5,63.0
1.169674,100.0,66.5,63.0
1.198162,100.0,66.5,62.5
1.22595,100.0,66.5,63.0
1.253799,100.0,66.5,63.0
1.281572,100.0,66.5,63.0
1.310078,100.0,66.5,63.5
1.334592,100.0,66.5,63.5
1.363734,100.0,66.5,63.5
1.38995,100.0,66.5,64.0
1.418157,100.0,66.5,64.0
1.449289,100.0,66.5,64.5
1.477044,100.0,66.5,65.0
1.501789,100.0,67.0,65.0
1.527277,100.0,67.0,65.0
1.555929,100.0,67.5,65.5
1.585243,100.0,67.5,65.5
1.612462,100.0,68.0,65.5
1.640161,100.0,68.0,65.5
1.670166,100.0,68.5,65.5
1.700689,100.0,68.5,66.0
1.728906,100.0,68.5,66.0
1.757127,100.0,69.0,66.0
1.786108,100.0,69.0,66.5
1.815736,100.0,69.5,66.5
1.84404,100.0,69.5,66.5
1.871572,100.0,69.5,66.0
1.899432,100.0,69.5,66.0
1.925529,100.0,69.5,66.0
1.954292,100.0,69.5,65.5
1.982907,100.0,69.5,65.0
2.009125,100.0,69.5,65.0
2.037108,100.0,69.5,64.5
2.067243,100.0,69.5,64.0
2.093724,100.0,69.5,63.5
2.12319,100.0,69.0,63.5
2.153006,100.0,69.0,63.0
2.181405,100.0,69.0,63.0
2.208722,100.0,69.0,63.0
2.236329,100.0,69.0,63.0
2.265568,100.0,68.5,63.0
2.293899,100.0,68.5,63.0
2.32304,100.0,68.5,63.0
2.351596,100.0,68.5,63.0
2.379669,100.0,69.0,63.0
2.406569,100.0,69.0,63.0
2.434442,100.0,69.0,63.0
2.460962,100.0,69.0,63.0
2.489152,100.0,69.0,63.5
2.518636,100.0,69.0,63.5
2.547054,100.0,69.5,63.5
2.575006,100.0,69.5,63.0
