Media Time (seconds),Attention (%),Valence (%),Arousal (%)
0.0,82.0,33.5,35.5
0.0,82.0,33.5,35.5
0.0,81.0,34.0,35.5
0.0,81.0,34.0,35.5
0.0,81.0,34.0,35.5
0.0,81.0,34.0,35.5
0.0,81.0,34.0,35.5
0.0,82.0,34.0,35.5
0.0,81.0,34.5,35.5
0.0,81.0,34.5,35.5
0.0,81.0,34.5,35.5
0.0,81.0,34.5,35.5
0.0,81.0,34.5,35.5
0.0,81.0,34.5,35.5
0.0,81.0,35.0,35.0
0.0,81.0,35.0,35.0
0.0,80.0,35.0,34.5
0.0,80.0,35.0,34.5
0.0,80.0,35.0,34.0
0.0,79.0,35.0,33.5
0.0,79.0,35.0,33.5
0.0,78.0,35.0,32.99999999999999
0.0,77.0,35.0,32.99999999999999
0.0,77.0,35.0,32.5
0.0,76.0,35.5,32.0
0.0,75.0,35.5,32.0
0.0,75.0,35.5,31.5
0.0,74.0,35.5,31.0
0.0,73.0,35.5,30.5
0.0,72.0,35.5,30.5
0.0,71.0,35.5,30.0
0.0,70.0,35.5,29.500000000000004
0.0,69.0,35.5,29.500000000000004
0.0,68.0,35.5,29.500000000000004
0.0,67.0,35.5,29.000000000000004
0.0,66.0,35.5,29.000000000000004
0.0,65.0,35.5,28.500000000000004
0.0,64.0,36.0,28.500000000000004
0.0,63.0,35.5,28.500000000000004
0.0,62.0,35.5,28.000000000000004
0.0,60.0,36.0,28.000000000000004
0.0,59.0,36.0,28.000000000000004
0.0,57.99999999999999,36.0,27.500000000000004
0.0,56.99999999999999,36.0,27.500000000000004
0.0,56.00000000000001,36.0,27.500000000000004
0.0,55.00000000000001,36.0,27.500000000000004
0.0,54.0,36.0,27.500000000000004
0.0,53.0,36.0,27.0
0.0,51.0,36.0,27.0
0.0,50.0,36.0,27.0
0.0,49.0,36.0,27.0
0.0,48.0,36.0,27.0
0.0,47.0,36.0,27.0
0.0,46.0,36.0,27.0
0.0,45.0,36.0,27.0
0.0,44.0,36.0,27.0
0.0,43.0,36.0,27.0
0.0,42.0,36.0,27.0
0.0,42.0,35.5,27.500000000000004
0.0,41.0,35.0,27.500000000000004
0.0,41.0,35.0,28.000000000000004
0.0,40.0,35.0,28.000000000000004
0.0,40.0,35.0,28.000000000000004
0.0,39.0,35.0,28.000000000000004
0.0,38.0,35.5,28.000000000000004
0.0,38.0,35.5,28.000000000000004
0.0,37.0,35.5,28.000000000000004
0.0,36.0,35.5,27.500000000000004
0.0,36.0,35.5,27.500000000000004
0.0,35.0,35.5,27.500000000000004
0.0,34.0,35.5,27.0
0.0,32.0,36.0,27.0
0.0,31.0,36.0,26.5
0.0,31.0,36.0,26.5
0.0,28.999999999999996,36.0,26.0
0.0,28.000000000000004,36.0,26.0
0.0,27.0,36.0,25.5
0.0,26.0,36.0,25.5
0.0,25.0,36.0,25.0
0.0,24.0,36.0,24.5
0.007339,22.0,36.0,24.5
0.02,21.0,36.0,24.0
0.02,20.0,36.0,24.0
0.02,19.0,36.0,24.0
0.027181,18.0,36.0,24.0
0.053881,17.0,36.0,24.0
0.079933,16.0,36.0,24.0
0.107255,16.0,36.0,24.0
0.145955,15.0,36.0,24.0
0.173675,14.000000000000002,36.0,24.0
0.201218,13.0,36.0,24.0
0.229177,12.0,36.0,24.0
0.255669,12.0,36.0,24.0
0.281114,11.0,36.0,24.0
0.307428,11.0,36.0,24.0
0.334915,10.0,36.0,24.0
0.364378,10.0,36.0,24.0
0.393213,9.0,36.0,24.0
0.420071,9.0,36.0,24.0
0.446896,8.0,36.0,23.5
0.473776,8.0,36.0,24.0
0.499944,7.000000000000001,36.0,24.0
0.527971,7.000000000000001,36.0,24.0
0.554116,7.000000000000001,36.0,24.0
0.580164,6.0,36.0,24.0
0.607459,6.0,36.0,24.0
0.644403,6.0,36.0,24.0
0.672469,5.0,36.5,23.5
0.699404,5.0,36.5,23.5
0.727088,5.0,36.5,23.5
0.753835,5.0,36.5,23.0
0.78196,4.0,37.0,23.0
0.808001,4.0,37.0,22.499999999999996
0.833481,4.0,37.0,22.499999999999996
0.859339,4.0,37.0,21.999999999999996
0.887848,4.0,37.0,21.999999999999996
0.914629,3.0,37.0,21.999999999999996
0.94031,3.0,36.5,21.999999999999996
0.966021,3.0,36.5,21.999999999999996
0.994015,3.0,36.5,21.999999999999996
1.020527,3.0,36.5,21.999999999999996
1.046134,3.0,36.5,21.500000000000004
1.073396,3.0,36.5,21.500000000000004
1.098676,2.0,36.5,21.500000000000004
1.12515,2.0,36.5,21.500000000000004
1.151351,2.0,36.5,21.500000000000004
1.182682,2.0,36.5,21.999999999999996
1.209754,2.0,36.5,21.999999999999996
1.235658,2.0,36.5,21.999999999999996
1.262386,2.0,36.5,22.499999999999996
1.288874,2.0,36.5,22.499999999999996
1.316276,2.0,36.5,22.499999999999996
1.34291,2.0,36.5,23.0
1.369045,1.0,36.5,23.0
1.396178,1.0,36.5,23.0
1.424699,1.0,36.0,23.0
1.454441,1.0,36.0,23.5
1.482007,1.0,36.0,23.5
1.508426,1.0,36.0,23.5
1.535334,1.0,35.5,24.0
1.562047,1.0,35.5,24.0
1.590533,1.0,35.5,24.5
1.617466,1.0,35.0,25.0
1.644179,1.0,35.0,25.0
1.673431,1.0,35.0,25.5
1.700681,1.0,35.0,26.0
1.732066,1.0,35.0,26.0
1.760313,1.0,34.5,26.5
1.786931,1.0,34.5,26.5
1.813596,1.0,34.5,26.5
1.840472,1.0,34.5,27.0
1.868601,1.0,34.5,27.0
1.89542,1.0,34.5,26.5
1.923241,1.0,34.5,26.5
1.950916,1.0,34.5,26.5
1.977778,0.0,35.0,26.5
2.007572,0.0,35.0,26.5
2.034766,0.0,35.0,26.5
2.065839,0.0,35.0,26.5
2.093541,0.0,35.0,26.5
2.131553,0.0,35.0,26.5
2.174327,0.0,35.0,26.5
2.215531,0.0,35.0,26.5
2.259184,1.0,35.0,26.5
2.299125,1.0,35.0,26.5
2.340582,0.0,35.0,26.5
2.383913,0.0,35.0,26.5
2.42583,0.0,35.0,26.5
2.465937,0.0,35.0,26.5
2.507303,0.0,35.0,26.5
2.550622,0.0,35.0,26.5
2.593409,0.0,34.5,26.5
2.639826,0.0,35.0,26.5
2.682601,0.0,34.5,26.5
2.723437,0.0,34.5,27.0
2.765353,0.0,34.5,27.0
2.80593,0.0,35.0,27.500000000000004
2.847535,0.0,35.0,28.000000000000004
2.891394,0.0,35.0,28.000000000000004
2.930141,0.0,35.0,28.500000000000004
2.965125,0.0,35.0,29.000000000000004
3.006748,0.0,34.5,29.500000000000004
3.049284,0.0,35.0,30.0
3.092453,0.0,35.0,30.0
3.130363,1.0,35.0,30.0
3.159134,1.0,35.0,30.0
3.187996,2.0,35.0,30.0
3.21435,2.0,35.0,30.0
3.239378,2.0,35.0,30.0
3.26506,3.0,35.0,30.0
3.292313,3.0,35.0,30.0
3.317565,4.0,35.0,30.5
3.347424,5.0,35.0,30.5
3.373826,5.0,34.5,30.5
3.406954,6.0,34.5,31.0
3.435438,7.000000000000001,34.0,31.5
3.463929,8.0,34.0,31.5
3.491815,8.0,34.0,31.5
3.520825,9.0,33.5,32.0
3.548917,10.0,33.5,32.0
3.577234,11.0,33.5,32.0
3.604594,12.0,33.5,32.0
3.633028,13.0,34.0,32.0
3.663573,14.000000000000002,33.5,32.0
3.692352,15.0,33.5,32.0
3.723218,16.0,33.5,32.5
3.750712,17.0,33.5,32.5
3.778727,18.0,33.5,32.99999999999999
3.806021,19.0,33.5,33.5
3.83291,20.0,33.5,33.5
3.860717,21.0,33.5,34.0
3.889435,22.0,33.5,34.0
3.915836,24.0,32.99999999999999,34.5
3.943099,25.0,32.99999999999999,35.0
3.969936,26.0,32.99999999999999,35.5
3.998094,27.0,32.99999999999999,36.0
4.025316,28.000000000000004,32.99999999999999,36.0
4.054084,28.999999999999996,32.99999999999999,36.5
4.081563,31.0,32.99999999999999,36.5
4.109065,32.0,33.5,37.0
4.136522,33.0,33.5,37.0
4.164069,34.0,33.5,37.0
4.192844,35.0,33.5,37.5
4.218545,36.0,33.5,37.5
4.2437,37.0,33.5,37.5
4.26898,38.0,33.5,37.0
4.296541,39.0,34.0,37.0
4.321795,39.0,34.0,37.0
4.348371,40.0,34.5,36.5
4.372559,40.0,34.5,36.5
4.399351,40.0,34.5,36.0
4.428011,40.0,34.5,35.5
4.456888,41.0,34.5,35.0
4.48456,41.0,34.5,35.0
4.512634,41.0,34.0,34.5
4.540166,41.0,34.0,34.0
4.566441,40.0,34.0,33.5
4.594274,40.0,34.0,32.99999999999999
4.620308,40.0,34.0,32.5
4.647365,40.0,34.0,32.0
4.675218,40.0,34.0,31.5
4.70105,39.0,34.0,31.0
4.727919,39.0,34.0,31.0
4.75604,39.0,34.0,30.5
4.783358,39.0,34.0,30.5
4.80985,39.0,34.0,30.5
4.835311,39.0,34.0,30.5
4.863282,39.0,34.0,30.0
4.891702,38.0,34.0,30.0
4.918768,38.0,34.0,29.500000000000004
4.945435,38.0,34.0,29.500000000000004
4.97116,38.0,34.0,29.500000000000004
4.998747,38.0,33.5,29.500000000000004
5.025738,38.0,33.5,29.500000000000004
5.053879,38.0,33.5,29.500000000000004
5.080787,38.0,34.0,29.000000000000004
5.107146,37.0,34.0,29.000000000000004
5.134762,37.0,34.0,28.500000000000004
5.161456,37.0,34.5,28.500000000000004
5.188417,36.0,35.0,28.000000000000004
5.207595,36.0,35.0,22.499999999999996
5.228189,35.0,35.5,22.499999999999996
5.248671,35.0,36.5,19.0
5.269752,34.0,36.5,19.0
5.290198,34.0,36.5,19.0
5.309436,34.0,37.0,18.0
5.331589,33.0,37.0,17.5
5.351096,33.0,37.0,17.5
5.371599,32.0,36.5,17.5
5.392465,31.0,36.5,17.5
5.422869,31.0,36.5,17.5
5.44833,30.0,36.0,17.5
5.466698,28.999999999999996,36.0,17.5
5.487313,28.999999999999996,35.5,17.5
5.509105,28.000000000000004,35.5,17.5
5.530609,27.0,35.5,17.5
5.550934,27.0,36.0,18.0
5.571622,26.0,36.0,18.0
5.591951,25.0,36.0,18.5
5.611184,25.0,36.0,18.5
5.632012,24.0,36.0,18.5
5.66063,23.0,36.0,19.0
5.688188,22.0,36.0,19.5
5.713423,21.0,36.0,19.5
5.734773,20.0,36.0,20.0
5.75341,19.0,36.0,20.0
5.773895,19.0,36.0,20.5
5.803394,18.0,36.0,20.5
5.828574,17.0,36.0,21.000000000000004
5.857089,16.0,36.5,21.000000000000004
