Media Time (seconds),Attention (%),Valence (%),Arousal (%)
4.165964,93.0,31.5,41.0
4.192953,93.0,31.5,40.5
4.220688,92.0,31.5,40.0
4.253728,92.0,31.5,40.0
4.283219,92.0,31.5,39.5
4.308604,91.0,32.0,39.0
4.336367,91.0,32.0,39.0
4.363772,91.0,32.0,38.5
4.390342,90.0,32.5,38.0
4.419077,90.0,32.5,38.0
4.445978,89.0,32.5,37.5
4.473563,89.0,32.5,37.5
4.501191,89.0,32.5,37.5
4.527784,89.0,32.5,37.5
4.556829,89.0,32.0,37.5
4.588165,89.0,32.0,37.5
4.614716,89.0,32.0,37.5
4.645781,89.0,31.5,38.0
4.674156,89.0,31.5,38.0
4.700932,89.0,31.5,38.5
4.728016,90.0,31.5,39.0
4.760224,90.0,31.5,39.5
4.788108,90.0,31.5,40.0
4.816325,91.0,31.0,40.5
4.843189,91.0,31.0,41.0
4.870231,92.0,31.0,41.5
4.899118,92.0,31.0,42.5
4.926611,93.0,31.0,42.5
4.95291,93.0,31.0,43.0
4.984793,93.0,31.0,43.0
5.014885,94.0,31.0,43.0
5.04297,94.0,31.0,43.0
5.07117,94.0,31.0,43.5
5.101722,95.0,31.0,44.0
5.129736,95.0,31.0,44.0
5.156759,95.0,31.0,44.5
5.185222,95.0,31.0,45.5
5.212652,96.0,31.0,46.0
5.240085,96.0,31.0,46.0
5.266902,96.0,31.0,46.0
5.293341,96.0,30.5,46.0
5.318608,96.0,30.5,46.0
5.344939,97.0,30.5,46.0
5.371003,97.0,30.5,45.5
5.429724,97.0,30.5,45.5
5.514145,96.0,30.5,43.0
5.604883,96.0,31.5,43.5
5.695931,95.0,32.99999999999999,41.0
5.786556,96.0,34.5,42.0
5.877508,95.0,34.0,41.0
5.969574,94.0,34.0,39.5
6.059697,95.0,32.99999999999999,39.5
6.150132,95.0,32.99999999999999,40.0
6.252552,96.0,32.99999999999999,40.5
6.36319,97.0,32.0,40.5
6.420685,97.0,32.5,40.0
6.448862,97.0,32.5,40.5
6.475079,97.0,32.5,40.5
6.502908,97.0,32.5,41.0
6.529764,97.0,32.5,41.0
6.558846,98.0,32.0,41.5
6.585728,98.0,32.0,42.0
6.613443,98.0,32.0,42.5
6.642407,98.0,31.5,43.0
6.669259,98.0,31.5,43.5
6.696344,98.0,31.5,44.5
6.72564,98.0,31.5,45.0
6.753698,98.0,31.5,45.5
6.781743,98.0,31.5,46.5
6.809934,98.0,31.5,47.5
6.837001,99.0,31.0,48.5
6.864604,99.0,31.0,50.0
6.893443,99.0,31.0,50.5
6.922402,99.0,31.5,49.5
6.950081,99.0,31.5,49.5
6.977869,99.0,31.5,51.5
7.005501,99.0,31.5,52.0
7.033583,99.0,31.5,53.0
7.06135,99.0,31.5,53.5
7.090856,99.0,32.0,53.5
7.118603,99.0,32.0,53.0
7.148959,99.0,32.0,52.5
7.180469,99.0,32.0,53.0
7.211563,99.0,32.0,53.5
7.24498,99.0,32.0,54.0
7.276614,99.0,32.0,54.0
7.318906,99.0,32.0,53.5
7.348088,99.0,32.5,52.5
7.376225,99.0,32.5,52.5
7.405052,99.0,32.99999999999999,51.5
7.432916,99.0,32.99999999999999,49.0
7.462684,98.0,33.5,47.5
7.489233,98.0,33.5,47.5
7.517503,98.0,34.0,47.5
7.545334,99.0,34.5,47.5
7.574221,99.0,35.0,48.5
7.6021,99.0,35.5,48.0
7.631619,99.0,35.5,47.5
7.66027,99.0,35.5,47.0
7.688705,99.0,36.0,47.0
7.724117,99.0,36.0,46.0
7.75136,99.0,36.5,45.5
7.778283,99.0,36.5,45.0
7.80658,99.0,37.0,44.5
7.833704,98.0,37.5,43.5
7.865924,98.0,37.5,43.0
7.893891,98.0,38.5,42.5
7.941238,98.0,39.0,42.0
7.997246,97.0,40.5,41.0
8.03384,97.0,42.0,40.5
8.062898,97.0,42.5,40.5
8.090839,97.0,43.5,40.5
8.118637,97.0,44.5,40.5
8.148053,97.0,45.5,40.5
8.178158,97.0,47.0,40.5
8.206964,97.0,51.5,40.5
8.235561,97.0,53.5,40.5
8.268849,97.0,55.00000000000001,40.5
8.294131,98.0,56.49999999999999,40.5
8.320758,98.0,57.49999999999999,40.5
8.347098,98.0,58.5,40.5
8.375174,98.0,59.0,40.5
8.404016,98.0,59.5,40.5
8.430419,98.0,60.0,40.5
8.457291,98.0,60.0,41.0
8.484174,98.0,60.5,41.0
8.512294,98.0,60.5,41.0
8.540145,98.0,60.0,40.5
8.568341,98.0,60.0,40.5
8.59644,98.0,60.0,40.5
8.623912,98.0,59.5,40.5
8.64911,98.0,59.0,40.5
8.675271,98.0,58.5,40.5
8.70488,98.0,57.99999999999999,41.0
8.73734,98.0,57.49999999999999,41.0
8.767094,98.0,56.49999999999999,42.0
8.79633,98.0,55.50000000000001,42.0
8.825238,98.0,54.0,42.5
8.85413,98.0,52.5,42.5
8.882097,99.0,48.0,43.0
8.91126,99.0,46.0,44.0
8.943434,99.0,44.5,44.5
8.972086,99.0,43.0,45.5
9.002997,99.0,42.0,47.0
9.032605,99.0,41.0,48.0
9.078983,99.0,40.5,52.0
9.123403,99.0,40.0,52.0
9.169894,98.0,40.0,51.0
9.208704,98.0,39.5,53.5
9.24907,98.0,39.0,52.5
9.280191,99.0,38.0,53.5
9.308293,99.0,38.0,54.0
9.337576,99.0,37.5,54.50000000000001
9.367618,99.0,37.0,54.50000000000001
9.398661,99.0,36.5,54.50000000000001
9.433553,99.0,36.5,54.50000000000001
9.47504,99.0,36.5,53.5
9.521907,99.0,36.5,52.0
9.573982,99.0,36.0,49.0
9.628239,99.0,36.0,49.5
9.68216,99.0,35.5,52.0
9.740688,99.0,35.0,47.5
9.799201,99.0,35.0,46.0
9.856256,99.0,34.5,47.5
9.910808,99.0,34.0,49.0
9.970884,99.0,34.5,53.0
10.019822,99.0,35.0,55.50000000000001
10.053891,99.0,35.0,56.00000000000001
10.083088,99.0,35.0,57.00000000000001
10.11638,99.0,35.0,57.49999999999999
10.151086,99.0,35.0,57.99999999999999
10.183819,99.0,35.0,58.5
10.21339,99.0,35.0,59.0
10.24854,99.0,34.5,59.5
10.28162,100.0,34.5,59.5
10.312528,100.0,34.5,60.0
10.345031,100.0,34.0,60.5
10.377838,100.0,33.5,61.0
10.410213,100.0,33.5,61.0
10.441943,100.0,32.99999999999999,61.5
10.475542,100.0,32.99999999999999,61.5
10.51772,100.0,32.5,61.5
10.545957,100.0,32.5,61.5
10.572955,100.0,32.5,61.5
10.600186,100.0,32.5,62.0
10.626577,100.0,32.0,62.0
10.65411,100.0,32.0,62.0
10.682882,100.0,31.5,62.0
10.712761,100.0,31.5,62.0
10.7427,100.0,31.0,62.0
10.772882,100.0,31.0,62.5
10.800407,100.0,31.0,62.5
