Media Time (seconds),Attention (%),Valence (%),Arousal (%)
5.668614,89.0,37.0,37.5
5.697698,89.0,37.5,37.5
5.730721,89.0,37.5,37.5
5.76377,89.0,38.0,37.5
5.809917,89.0,38.0,37.0
5.848759,89.0,39.0,37.5
5.886411,89.0,39.5,37.5
5.922042,90.0,40.0,37.5
5.962086,90.0,40.0,37.5
5.995571,90.0,41.0,37.5
6.025723,90.0,41.5,37.5
6.054976,90.0,42.0,37.5
6.082473,90.0,42.5,37.5
6.109618,90.0,42.5,38.0
6.138688,91.0,43.0,38.0
6.166778,91.0,42.5,38.5
6.192984,91.0,42.5,38.5
6.222329,91.0,42.5,38.5
6.250132,92.0,42.0,38.5
6.27614,92.0,41.5,38.5
6.305156,92.0,41.0,39.0
6.332068,93.0,40.5,39.5
6.360955,93.0,40.0,39.5
6.389,93.0,39.5,39.5
6.416954,94.0,39.0,40.0
6.447912,94.0,38.5,40.0
6.476498,94.0,38.0,40.0
6.50617,94.0,37.5,40.0
6.534517,94.0,37.0,40.0
6.562692,95.0,36.5,40.0
6.592794,95.0,36.5,40.0
6.622801,95.0,36.5,40.0
6.653758,95.0,36.0,40.0
6.682942,95.0,36.0,40.0
6.713631,96.0,35.5,40.0
6.744091,96.0,35.0,40.0
6.77634,96.0,35.0,40.0
6.807492,96.0,34.5,40.0
6.842489,96.0,34.5,40.0
6.874748,96.0,34.5,40.0
6.904052,96.0,34.5,40.0
6.934506,96.0,34.5,39.5
6.966619,96.0,34.0,39.5
6.996651,96.0,34.5,39.0
7.026207,96.0,34.5,39.0
7.057,96.0,34.5,39.0
7.088872,96.0,34.5,39.0
7.119684,95.0,34.5,38.5
7.151001,95.0,34.0,38.5
7.186611,95.0,34.0,38.5
7.219475,95.0,34.0,38.5
7.247985,95.0,34.5,38.5
7.277417,95.0,34.0,38.5
7.306777,95.0,34.5,38.5
7.339785,94.0,34.5,38.0
7.369202,94.0,35.0,38.0
7.399107,94.0,35.0,38.0
7.428725,94.0,35.5,38.0
7.45842,93.0,36.0,37.5
7.491531,93.0,36.0,37.5
7.522022,92.0,36.0,37.0
7.551418,92.0,36.0,37.0
7.580565,92.0,36.0,37.0
7.609779,92.0,36.0,37.0
7.639478,91.0,35.5,37.0
7.66777,91.0,35.5,37.0
7.697061,91.0,35.5,37.0
7.725193,91.0,35.5,37.0
7.758598,90.0,35.5,36.5
7.790315,90.0,35.5,36.5
7.820088,90.0,35.5,36.5
7.849321,90.0,35.0,36.5
7.877681,90.0,35.0,37.0
7.904912,89.0,35.0,37.0
7.932293,89.0,34.5,37.0
7.959228,89.0,34.5,37.0
7.987233,90.0,34.5,37.5
8.015398,89.0,34.5,37.5
8.042519,89.0,34.5,37.5
8.070656,89.0,34.5,37.5
8.100931,89.0,34.5,37.0
8.130319,89.0,34.5,37.5
8.161187,89.0,34.0,37.5
8.192064,89.0,34.0,37.5
8.220807,89.0,34.0,38.0
8.249731,89.0,33.5,38.0
8.278235,89.0,33.5,38.0
8.307535,90.0,33.5,38.5
8.337222,90.0,33.5,38.5
8.367202,90.0,33.5,39.0
8.395911,90.0,33.5,39.0
8.42575,91.0,33.5,38.5
8.457216,91.0,34.0,38.5
8.488446,91.0,34.0,38.5
8.518918,91.0,33.5,39.0
8.550997,91.0,33.5,39.0
8.583212,92.0,34.0,39.0
8.616725,92.0,34.0,38.5
8.654595,92.0,34.5,38.5
8.693658,92.0,34.5,39.0
8.724819,92.0,34.5,39.0
8.756225,93.0,34.5,39.0
8.786031,93.0,35.0,39.0
8.817323,93.0,35.0,39.0
8.846708,93.0,35.5,39.0
8.877455,94.0,35.5,39.0
8.906184,94.0,35.5,39.0
8.934951,94.0,35.5,39.0
8.964533,94.0,36.0,39.0
8.992807,94.0,36.5,39.0
9.023535,95.0,36.5,39.5
9.053845,95.0,36.5,39.5
9.086532,95.0,36.5,39.0
9.114466,95.0,36.5,39.5
9.142202,95.0,36.5,39.0
9.171122,95.0,37.0,39.0
9.199416,95.0,36.5,39.0
9.227924,95.0,37.0,39.0
9.258813,95.0,37.5,38.5
9.287566,95.0,37.0,38.5
9.316792,95.0,37.0,38.0
9.344656,94.0,37.0,38.0
9.370902,94.0,37.0,37.5
9.398809,94.0,36.5,37.5
9.429117,93.0,36.5,37.5
9.458631,93.0,37.0,37.5
9.488406,93.0,37.0,37.5
9.51824,92.0,37.0,37.5
9.549753,92.0,37.0,37.0
